A0,A1,A2,A3,A4,A5,A6,A7,A8,Val,Target
0.0,0.463444372481574,0.5365554308009057,0.0,0.0,0.0,0.0,0.0,0.0,10398.099609,10380.769531
0.0,0.4721633357307635,0.5278364283088344,0.0,0.0,0.0,0.0,0.0,0.0,10380.769531,10529.759766
0.0,0.3972044012531667,0.6027954810181888,0.0,0.0,0.0,0.0,0.0,0.0,10529.759766,10541.040039
0.0,0.3915292768763136,0.6084707427451264,0.0,0.0,0.0,0.0,0.0,0.0,10541.040039,10510.679688
0.0,0.40680381376294955,0.5931960292655251,0.0,0.0,0.0,0.0,0.0,0.0,10510.679688,10512.799805
0.0,0.40573721237297417,0.5942626895198232,0.0,0.0,0.0,0.0,0.0,0.0,10512.799805,10589.759766
0.0,0.36701756946139663,0.6329823128099589,0.0,0.0,0.0,0.0,0.0,0.0,10589.759766,10499.040039
0.0,0.41266005913055265,0.5873399604908873,0.0,0.0,0.0,0.0,0.0,0.0,10499.040039,10502.860352
0.0,0.4107381641731434,0.589262012922936,0.0,0.0,0.0,0.0,0.0,0.0,10502.860352,10518.980469
0.0,0.4026279686984217,0.5973722672619804,0.0,0.0,0.0,0.0,0.0,0.0,10518.980469,10557.099609
0.0,0.3834492682333834,0.6165505350490963,0.0,0.0,0.0,0.0,0.0,0.0,10557.099609,10437.30957
0.0,0.44371727790565274,0.5562825057553861,0.0,0.0,0.0,0.0,0.0,0.0,10437.30957,10274.519531
0.0,0.5256191836953563,0.4743805803442416,0.0,0.0,0.0,0.0,0.0,0.0,10274.519531,10345.110352
0.0,0.4901043760923388,0.5098958010037407,0.0,0.0,0.0,0.0,0.0,0.0,10345.110352,10464.419922
0.0,0.4300778610744043,0.5699220996827139,0.0,0.0,0.0,0.0,0.0,0.0,10464.419922,10401.900391
0.0,0.46153253980142894,0.5384676569160913,0.0,0.0,0.0,0.0,0.0,0.0,10401.900391,10478.660156
0.0,0.422913519662491,0.5770865588232716,0.0,0.0,0.0,0.0,0.0,0.0,10478.660156,10360.339844
0.0,0.48244195195586137,0.517557969558376,0.0,0.0,0.0,0.0,0.0,0.0,10360.339844,10237.919922
0.0,0.5440331510883363,0.455966809668782,0.0,0.0,0.0,0.0,0.0,0.0,10237.919922,10274.5
0.0,0.5256292459726205,0.47437075402737955,0.0,0.0,0.0,0.0,0.0,0.0,10274.5,10457.360352
0.0,0.43362984494856904,0.5663703321475104,0.0,0.0,0.0,0.0,0.0,0.0,10457.360352,10431.360352
0.0,0.44671080539166935,0.5532893717044101,0.0,0.0,0.0,0.0,0.0,0.0,10431.360352,10543.519531
0.0,0.3902815544955873,0.6097182095440106,0.0,0.0,0.0,0.0,0.0,0.0,10543.519531,10592.040039
0.0,0.36587046985330907,0.634129549768131,0.0,0.0,0.0,0.0,0.0,0.0,10592.040039,10635.980469
0.0,0.3437636467044701,0.656236589255932,0.0,0.0,0.0,0.0,0.0,0.0,10635.980469,10617.830078
0.0,0.3528951633214804,0.6471048759214014,0.0,0.0,0.0,0.0,0.0,0.0,10617.830078,10605.650391
0.0,0.35902309017520984,0.6409771065423104,0.0,0.0,0.0,0.0,0.0,0.0,10605.650391,10725.540039
0.0,0.29870476911662075,0.7012952505048192,0.0,0.0,0.0,0.0,0.0,0.0,10725.540039,10746.669922
0.0,0.2880739731872861,0.711925987569832,0.0,0.0,0.0,0.0,0.0,0.0,10746.669922,10808.290039
0.0,0.2570720969371379,0.7429279226843021,0.0,0.0,0.0,0.0,0.0,0.0,10808.290039,10836.639648
0.0,0.24280881891552727,0.7571910039883933,0.0,0.0,0.0,0.0,0.0,0.0,10836.639648,10842.799805
0.0,0.23970963751823895,0.7602902643745584,0.0,0.0,0.0,0.0,0.0,0.0,10842.799805,10857.530273
0.0,0.23229877031335872,0.7677013670367258,0.0,0.0,0.0,0.0,0.0,0.0,10857.530273,10664.700195
0.0,0.32931421655347565,0.6706858815537271,0.0,0.0,0.0,0.0,0.0,0.0,10664.700195,10579.099609
0.0,0.37238076324306774,0.6276190400394119,0.0,0.0,0.0,0.0,0.0,0.0,10579.099609,10452.709961
0.0,0.4359693244124319,0.5640306559661281,0.0,0.0,0.0,0.0,0.0,0.0,10452.709961,10526.759766
0.0,0.3987137428427552,0.6012861394286003,0.0,0.0,0.0,0.0,0.0,0.0,10526.759766,10624.089844
0.0,0.34974567053787226,0.650254250976365,0.0,0.0,0.0,0.0,0.0,0.0,10624.089844,10754.030273
0.0,0.28437105515416206,0.7156290821959225,0.0,0.0,0.0,0.0,0.0,0.0,10754.030273,10492.379883
