data,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12
d19,0,0,0,0,0,0.92,1,0.08,0,0,0,0,0,0,0,0,0.31,1,0.69,,0,0,0,0
d20,0,0,0,0,0.31,1,0.69,0,0,0,0,0,0,0,0,0,0,0.06,1,0.94,0,0,0,0
d21,0,0,0,0,0,0.06,1,0.94,0,0,0,0,0,0,0,0,0,0.9,1,0.1,0,0,0,0
d22,0,0,0,0,0,0.9,1,0.1,0,0,0,0,0,0,0,0,0.07,1,0.93,0,0,0,0,0
d26,0,0,0,0,0.07,1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1,0.83,0,0
d27,0,0,0,0,0,0,0,0.17,1,0.83,0,0,0,0,0,0,0,0.53,1,0.47,0,0,0,0
d28,0,0,0,0,0,0.53,1,0.47,0,0,0,0,0,0,0,0,0,0.05,1,0.95,0,0,0,0
