A0,A1,A2,A3,A4,Val,Target
0.14635798471198586,0.8536419060005028,0.0,0.0,0.0,10398.099609,10380.769531
0.1512018531837578,0.8487980157271299,0.0,0.0,0.0,10380.769531,10529.759766
0.10955800069620401,0.8904419338989935,0.0,0.0,0.0,10529.759766,10541.040039
0.10640515382017451,0.8935948570806255,0.0,0.0,0.0,10541.040039,10510.679688
0.11489100764608337,0.8851089051475136,0.0,0.0,0.0,10510.679688,10512.799805
0.11429845131831928,0.8857014941776792,0.0,0.0,0.0,10512.799805,10589.759766
0.09278753858966511,0.9072123960055324,0.0,0.0,0.0,10589.759766,10499.040039
0.11814447729475175,0.8818555336060483,0.0,0.0,0.0,10499.040039,10502.860352
0.11707675787396886,0.8829233405127419,0.0,0.0,0.0,10502.860352,10518.980469
0.11257109372134569,0.8874290373677666,0.0,0.0,0.0,10518.980469,10557.099609
0.10191626012965775,0.898083630582831,0.0,0.0,0.0,10557.099609,10437.30957
0.13539848772536292,0.8646013920863252,0.0,0.0,0.0,10437.30957,10274.519531
0.18089954649742046,0.8191003224134672,0.0,0.0,0.0,10274.519531,10345.110352
0.1611690978290774,0.8388310005576334,0.0,0.0,0.0,10345.110352,10464.419922
0.12782103393022493,0.8721789442681741,0.0,0.0,0.0,10464.419922,10401.900391
0.1452958554452386,0.8547042538422727,0.0,0.0,0.0,10401.900391,10478.660156
0.12384084425693975,0.8761591993462617,0.0,0.0,0.0,10478.660156,10360.339844
0.1569121955310344,0.8430877608657641,0.0,0.0,0.0,10360.339844,10237.919922
0.19112952838240932,0.8088704498159897,0.0,0.0,0.0,10237.919922,10274.5
0.1809051366514561,0.8190948633485439,0.0,0.0,0.0,10274.5,10457.360352
0.12979435830476085,0.87020574008195,0.0,0.0,0.0,10457.360352,10431.360352
0.13706155855092772,0.8629385398357831,0.0,0.0,0.0,10431.360352,10543.519531
0.10571197471977103,0.8942878941911167,0.0,0.0,0.0,10543.519531,10592.040039
0.09215026102961645,0.9078497498711835,0.0,0.0,0.0,10592.040039,10635.980469
0.07986869261359482,0.9201314384755175,0.0,0.0,0.0,10635.980469,10617.830078
0.08494175740082274,0.9150582644007783,0.0,0.0,0.0,10617.830078,10605.650391
0.08834616120845022,0.9116539480790611,0.0,0.0,0.0,10605.650391,10725.540039
0.054835982842567375,0.9451640280582326,0.0,0.0,0.0,10725.540039,10746.669922
0.04892998510404815,0.9510699930943508,0.0,0.0,0.0,10746.669922,10808.290039
0.03170672052063247,0.9682932903801675,0.0,0.0,0.0,10808.290039,10836.639648
0.023782677175293237,0.976217224437996,0.0,0.0,0.0,10836.639648,10842.799805
0.022060909732355284,0.9779390357636433,0.0,0.0,0.0,10842.799805,10857.530273
0.017943761285199596,0.9820563150204029,0.0,0.0,0.0,10857.530273,10664.700195
0.07184123141859787,0.9281588230854037,0.0,0.0,0.0,10664.700195,10579.099609
0.09576709069059348,0.9042328000218952,0.0,0.0,0.0,10579.099609,10452.709961
0.13109406911801805,0.8689059199811819,0.0,0.0,0.0,10452.709961,10526.759766
