A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,Val,Target
0.0,0.29271596942397177,0.7072838120010047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10398.099609,10380.769531
0.0,0.30240370636751573,0.6975960314542587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10380.769531,10529.759766
0.0,0.21911600139240808,0.7808838677979859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10529.759766,10541.040039
0.0,0.21281030764034908,0.7871897141612498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10541.040039,10510.679688
0.0,0.2297820152921668,0.7702178102950262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10510.679688,10512.799805
0.0,0.22859690263663862,0.7714029883553574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10512.799805,10589.759766
0.0,0.18557507717933028,0.8144247920110638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10589.759766,10499.040039
0.0,0.23628895458950358,0.7637110672120954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10499.040039,10502.860352
0.0,0.23415351574793777,0.7658466810254828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10502.860352,10518.980469
0.0,0.22514218744269143,0.7748580747355321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10518.980469,10557.099609
0.0,0.20383252025931556,0.7961672611656608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10557.099609,10437.30957
0.0,0.2707969754507259,0.7292027841726495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10437.30957,10274.519531
0.0,0.36179909299484103,0.6382006448269334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274.519531,10345.110352
0.0,0.3223381956581549,0.6776620011152656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.110352,10464.419922
0.0,0.2556420678604499,0.7443578885363471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10464.419922,10401.900391
0.0,0.29059171089047725,0.7094085076845443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10401.900391,10478.660156
0.0,0.24768168851387956,0.7523183986925224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10478.660156,10360.339844
0.0,0.3138243910620689,0.6861755217315271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10360.339844,10237.919922
0.0,0.3822590567648187,0.6177408996319783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10237.919922,10274.5
0.0,0.3618102733029123,0.6381897266970867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274.5,10457.360352
0.0,0.2595887166095218,0.7404114801638988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10457.360352,10431.360352
0.0,0.2741231171018555,0.725877079671565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10431.360352,10543.519531
0.0,0.21142394943954212,0.7885757883822323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10543.519531,10592.040039
0.0,0.18430052205923295,0.815699499742366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10592.040039,10635.980469
0.0,0.1597373852271897,0.8402628769510339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10635.980469,10617.830078
0.0,0.1698835148016455,0.8301165288015555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10617.830078,10605.650391
0.0,0.17669232241690047,0.823307896158121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10605.650391,10725.540039
0.0,0.10967196568513478,0.8903280561164642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10725.540039,10746.669922
0.0,0.09785997020809632,0.9021399861887006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10746.669922,10808.290039
0.0,0.06341344104126495,0.9365865807603341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10808.290039,10836.639648
0.0,0.04756535435058649,0.9524344488759909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10836.639648,10842.799805
0.0,0.04412181946471058,0.9558780715272854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10842.799805,10857.530273
0.0,0.0358875225703992,0.9641126300408047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10857.530273,10664.700195
0.0,0.14368246283719577,0.8563176461708062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10664.700195,10579.099609
0.0,0.191534181381187,0.8084656000437894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.099609,10452.709961
0.0,0.26218813823603615,0.7378118399623629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10452.709961,10526.759766
0.0,0.22079304760306198,0.779206821587332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10526.759766,10624.089844
0.0,0.16638407837541427,0.8336158344181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10624.089844,10754.030273
0.0,0.09374561683795844,0.9062545357732456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.030273,10492.379883
0.0,0.24001199717715616,0.7599879374180408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10492.379883,10586.019531
0.0,0.187665794788612,0.8123339430331624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10586.019531,10693.660156
